,OLDID,VILLAGE,AREA,Type,LatGRS,LongGRS,Y_LO,X_LO,ORTHOH,lzon,SURVREC
1086,3/48,SERULE,2127,BM,-21.891027777777776,27.331166666666668,-34252.896,2421477.487,933.84,27.0,
1088,3/5,PALAPYE,2227,BM,-22.524166666666662,27.16111111111111,-16604.284,2491558.769,912.26,27.0,
1089,3/50,SHASHE,2127,BM,-21.84922222222222,27.330944444444444,-34239.912000000004,2416848.322,928.89,27.0,
1090,3/51,SHASHE,2127,BM,-21.863972222222223,27.328805555555554,-34015.312999999995,2418481.107,935.73,27.0,
1091,3/52,SHASHE,2127,BM,-21.83475,27.332527777777777,-34407.051,2415246.176,938.72,27.0,
1093,3/54,SHASHE,2127,BM,-21.805666666666667,27.335527777777777,-34724.223,2412026.48,938.43,27.0,
1094,3/55,SHASHE,2127,BM,-21.79127777777778,27.33736111111111,-34917.287000000004,2410433.63,939.02,27.0,
1096,3/57,SERULE,2127,BM,-21.75558333333333,27.341277777777776,-35331.074,2406482.131,950.17,27.0,
1097,3/58,SERULE,2127,BM,-21.740972222222226,27.342944444444445,-35507.07,2404864.652,953.69,27.0,
1100,3/60,SHASHE,2127,BM,-21.712555555555557,27.345916666666664,-35821.592000000004,2401718.819,945.12,27.0,
1101,3/61,SHASHE,2127,BM,-21.699277777777777,27.34744444444444,-35982.975,2400248.958,938.91,27.0,
1102,3/62,SHASHE,2127,BM,-21.68316666666667,27.348916666666664,-36139.344,2398465.358,928.25,27.0,
1106,3/66,SERULE,2127,BM,-21.63055555555556,27.36080555555556,-37383.304,2392642.704,936.54,27.0,
1107,3/67,SERULE,2127,BM,-21.616972222222223,27.365861111111112,-37910.245,2391139.892,944.47,27.0,
1108,3/68,SERULE,2127,BM,-21.60380555555556,27.37077777777778,-38422.791,2389683.2,946.9,27.0,
1109,3/69,SERULE,2127,BM,-21.586305555555555,27.37783333333333,-39158.091,2387747.248,960.52,27.0,
1110,3/7,PALAPYE,2227,BM,-22.503611111111116,4.692083333333334,-17521.356,2489283.517,919.25,27.0,
1111,3/70,SERULE,2127,BM,-21.57252777777778,27.383027777777777,-39699.788,2386223.003,968.36,27.0,
1116,3/75,SHASHE,2127,BM,-21.49375,27.413138888888888,-42841.534000000014,2377508.238,988.53,27.0,
1121,3/8,PALAPYE,2227,BM,-22.493333333333336,27.174166666666668,-17951.409,2488145.879,919.03,27.0,
1124,3/82,SHASHE,2127,BM,-21.399442166666667,27.45216308333333,-46914.903,2367077.392,959.8,27.0,861
1128,3/86,SHASHE,2127,BM,-21.3405,27.46775,-48551.365,2360555.592,987.37,27.0,
1129,3/87,TATI,2127,BM,-21.32883333333333,27.47036111111111,-48826.093,2359264.62,996.85,27.0,
1130,3/88,TATI,2127,BM,-21.312416666666667,27.47397222222222,-49206.198,2357448.028,998.9,27.0,
1132,3/9,PALAPYE,2227,BM,-22.47972222222222,27.18,-18553.484,2486639.336,916.26,27.0,
1133,3/90,SHASHE,2127,BM,-21.28738888888889,27.4795,-49788.169,2354678.599,988.22,27.0,
1134,3/91,SHASHE,2127,BM,-21.275916666666667,27.48219444444444,-50071.665,2353409.208,994.78,27.0,
1136,3/93,SHASHE,2127,BM,-21.250888888888888,27.48766666666667,-50648.143,2350639.798,999.8,27.0,
1138,3/95,SHASHE,2127,BM,-21.227194444444443,27.494666666666667,-51382.947,2348018.538,992.4,27.0,
1150,3/M77,TONOTA,2127,BM,-21.462804138888888,27.424756611111118,-44054.1,2374085.163,972.92,27.0,861
1152,3/M85,TONOTA,2127,BM,-21.35767375,27.46415352777778,-48171.853,2362456.259,978.65,27.0,861
1153,313PRh,,2027,TRIG,-20.424787527777777,27.29614902777778,-30935.832,2259129.049,1271.9,27.0,
1154,315PRh,,2027,TRIG,-20.607678583333332,27.350698416666667,-36585.519,2279388.35,1303.32,27.0,
1309,4/189,LETLHAKANE,2125,BM,-21.40434325,25.567008138888887,-58830.569,2367657.549,986.46,25.0,865
1506,4/431,TLOLANKWE,2023,BM,-20.26833333333333,23.59575,-62281.754,2241890.653,951.6,23.0,
